1	
1027	
1061	
11	
110	
110102	
112	
1124	
1139	
1143	
1144	
1148	
1152	
115385	
12	
1202	
1203	
1205	
1221	
1228	
1234	
1236	
1238	
1239	
1274	
13	
1343	
149	
1516	
153154	
163	
16667	
1avidūrenidānakathā	
2133	
2209	
2218	
2399	
259	
27	
291	
3	
303	
3100	
3113	
3200	
3384	
366	
370	
407	
4129	
417	
442	
45	
477	
511	
5195	
558	
720	
75	
751	
8	
85	
99	
abbhantaramhi    
abbocchinnaṃ    
abhidhammakathāmaggaṃ    
abhidhammapiṭake    
abhidhammassa    
abhidhammasuttaṃ    
abhidhammaṃ    
abhidhamme    
abhidhammo    
abhikkantena    
abhiññābalamāhari    
acetanaṃva    
acetanāyaṃ    
adaṃsu    
adhiṭṭhānapāramitaṃ    
advejjhavacanā    
ahampi    
ahaṃ    
ahu    
ajapālarukkhamūle    
ajaraṃ    
ajjhāyako    
akkamitvāna    
akāsabhūtā    
alaṅkatasīsaṃ    
alīnavīriyo    
amaraṃ    
amhākampi    
ananto    
anekaguṇasampannaṃ    
anekajātisaṃsāraṃ    
anekakoṭisannicayo    
anekāni    
aniṭṭhagandho    
aniṭṭhite    
anomadassissa    
anotattadahe    
anovaṭṭhena    
antalikkhamhi    
antarantarā    
antobhastagataṃ    
anuṭṭhāpanīyabhāvo    
anāgatamhi    
anāsavā    
apanetvā    
aparabhāgepi    
aparampissa    
aparepi    
aparimeyye    
aparo    
apaṇṇakajātakādīni    
appattamānasā    
appaṭijagganatā    
asamo    
assamo    
assattharukkhamūlamhi    
asītihatthamubbedho    
atha    
athassa    
atheko    
athāpare    
athāpi    
atirekavisesatthadīpako    
atisambādhe    
ativisāle    
atthato    
atthaṃ    
attheva    
atthi    
attho    
atthānaṃ    
atīradassī    
avikkhittā    
avinayadhāritāya    
avīcimhi    
ayamettha    
ayameva    
ayampi    
ayañca    
ayañhi    
ayaṃ    
aññepi    
aññesu    
aṭṭhadhammasamodhānā    
aṭṭhadosasamākiṇṇaṃ    
aṭṭhaguṇasamupeta    
aṭṭhaguṇasamupetaṃ    
aṭṭhasālinī    
aṭṭhimāni    
aṭṭhīhi    
bahū    
bandhumatī    
bhagavā    
bhante    
bhayaṃ    
bhaṇḍacchedabhayaṃ    
bhikkhunā    
bhikkhāya    
bhikkhū    
bhikkhūnaṃ    
bhojaputte    
bilāsayā    
bodhaneyyaṃ    
bodhi    
brahmadatto    
brahmajālādicatuttiṃsasuttasaṅgaho    
brāhmaṇa    
brāhmaṇo    
buddhassa    
buddho    
buddhoti    
buddhānañhi    
bāhirakadānañhi    
bāvīsatindriyāni    
bāḷhā    
cajato    
cakkavāḷasahassehi    
calatā    
campakaṃ    
candasūriyatārakarūpadevatuyyānavimānakapparukkhānaṃ    
caranti    
cattāri    
cattāro    
cattārome    
catunahutādhikadviyojanasatasahassabahalā    
caturo    
caturāsīti    
catutthe    
catuttiṃseva    
catūhi    
caṅkamanassa    
caṅkamaṃ    
cha    
chanahutādhikanavayojanasatasahassabahalo    
chavito    
chaḍḍayitvāna    
cittapariyādānasuttādinavasuttasahassapañcasatasattapaññāsasuttasaṅgaho    
cittasamuṭṭhānā    
cittassa    
cittavibhatti    
citto    
cittuppādakaṇḍa    
cittuppādakaṇḍo    
cutī    
cūḷavedallamahāvedallasammādiṭṭhisakkapañhasaṅkhārabhājanīyamahāpuṇṇamasuttādayo    
dabbasambhāre    
dadāhi    
dasahi    
dasasahassilokamhi    
dasasahassī    
dasavidho    
dasavīsasahassānaṃ    
dassanaṃ    
dayāya    
daḷhaṃ    
desanā    
desanānidānaṃ    
desanāsāsanakathābhedaṃ    
devatā    
devatāsaṃyuttādivasena    
devā    
dhammahadayavibhaṅgo    
dhammanāvaṃ    
dhammapadabhāṇakā    
dhammapadaṃ    
dhammappaṭiggāhakā    
dhammasaṅgaṇīaṭṭhakathā    
dhammasaṅgaṇīādīni    
dhammasenāpatisāriputtattherappabhavā    
dhammasenāpatisāriputtattheropi    
dhammatejena    
dhammaṃ    
dhamme    
dhammo    
dhammātirekadhammavisesaṭṭhena    
dhunanto    
dibbasaṅgītivattanakālo    
dibbaṃ    
disodisaṃ    
divā    
diyaḍḍhasatasuttantā    
duggahitattā    
dukasataṃ    
dukatikañceva    
duke    
dukkho    
dutiye    
