a    
aṃ    
ā    
āṃ    
i    
iṃ    
ī    
īṃ    
u    
uṃ    
ū    
ūṃ    
e    
eṃ    
o    
oṃ    
ka    
kaṃ    
kā    
kāṃ    
ki    
kiṃ    
kī    
kīṃ    
ku    
kuṃ    
kū    
kūṃ    
ke    
keṃ    
ko    
koṃ    
k    
kha    
khaṃ    
khā    
khāṃ    
khi    
khiṃ    
khī    
khīṃ    
khu    
khuṃ    
khū    
khūṃ    
khe    
kheṃ    
kho    
khoṃ    
kh    
ga    
gaṃ    
gā    
gāṃ    
gi    
giṃ    
gī    
gīṃ    
gu    
guṃ    
gū    
gūṃ    
ge    
geṃ    
go    
goṃ    
g    
gha    
ghaṃ    
ghā    
ghāṃ    
ghi    
ghiṃ    
ghī    
ghīṃ    
ghu    
ghuṃ    
ghū    
ghūṃ    
ghe    
gheṃ    
gho    
ghoṃ    
gh    
ṅa    
ṅaṃ    
ṅā    
ṅāṃ    
ṅi    
ṅiṃ    
ṅī    
ṅīṃ    
ṅu    
ṅuṃ    
ṅū    
ṅūṃ    
ṅe    
ṅeṃ    
ṅo    
ṅoṃ    
ṅ    
ca    
caṃ    
cā    
cāṃ    
ci    
ciṃ    
cī    
cīṃ    
cu    
cuṃ    
cū    
cūṃ    
ce    
ceṃ    
co    
coṃ    
c    
cha    
chaṃ    
chā    
chāṃ    
chi    
chiṃ    
chī    
chīṃ    
chu    
chuṃ    
chū    
chūṃ    
che    
cheṃ    
cho    
choṃ    
ch    
ja    
jaṃ    
jā    
jāṃ    
ji    
jiṃ    
jī    
jīṃ    
ju    
juṃ    
jū    
jūṃ    
je    
jeṃ    
jo    
joṃ    
j    
jha    
jhaṃ    
jhā    
jhāṃ    
jhi    
jhiṃ    
jhī    
jhīṃ    
jhu    
jhuṃ    
jhū    
jhūṃ    
jhe    
jheṃ    
jho    
jhoṃ    
jh    
ña    
ñaṃ    
ñā    
ñāṃ    
ñi    
ñiṃ    
ñī    
ñīṃ    
ñu    
ñuṃ    
ñū    
ñūṃ    
ñe    
ñeṃ    
ño    
ñoṃ    
ñ    
ṭa    
ṭaṃ    
ṭā    
ṭāṃ    
ṭi    
ṭiṃ    
ṭī    
ṭīṃ    
ṭu    
ṭuṃ    
ṭū    
ṭūṃ    
ṭe    
ṭeṃ    
ṭo    
ṭoṃ    
ṭ    
ṭha    
ṭhaṃ    
ṭhā    
ṭhāṃ    
ṭhi    
ṭhiṃ    
ṭhī    
ṭhīṃ    
ṭhu    
ṭhuṃ    
ṭhū    
ṭhūṃ    
ṭhe    
ṭheṃ    
ṭho    
ṭhoṃ    
ṭh    
ḍa    
ḍaṃ    
ḍā    
ḍāṃ    
ḍi    
ḍiṃ    
ḍī    
ḍīṃ    
ḍu    
ḍuṃ    
ḍū    
ḍūṃ    
ḍe    
ḍeṃ    
ḍo    
ḍoṃ    
ḍ    
ḍha    
ḍhaṃ    
ḍhā    
ḍhāṃ    
ḍhi    
ḍhiṃ    
ḍhī    
ḍhīṃ    
ḍhu    
ḍhuṃ    
ḍhū    
ḍhūṃ    
ḍhe    
ḍheṃ    
ḍho    
ḍhoṃ    
ḍh    
ṇa    
ṇaṃ    
