1	१
1027	१०२७
1061	१०६१
11	११
110	११०
110102	११०१०२
112	११२
1124	११२४
1139	११३९
1143	११४३
1144	११४४
1148	११४८
1152	११५२
115385	११५३८५
12	१२
1202	१२०२
1203	१२०३
1205	१२०५
1221	१२२१
1228	१२२८
1234	१२३४
1236	१२३६
1238	१२३८
1239	१२३९
1274	१२७४
13	१३
1343	१३४३
149	१४९
1516	१५१६
153154	१५३१५४
163	१६३
16667	१६६६७
1avidūrenidānakathā	१अविदूरेनिदानकथा
2133	२१३३
2209	२२०९
2218	२२१८
2399	२३९९
259	२५९
27	२७
291	२९१
3	३
303	३०३
3100	३१००
3113	३११३
3200	३२००
3384	३३८४
366	३६६
370	३७०
407	४०७
4129	४१२९
417	४१७
442	४४२
45	४५
477	४७७
511	५११
5195	५१९५
558	५५८
720	७२०
75	७५
751	७५१
8	८
85	८५
99	९९
Abbhantaramhi	अब्भन्तरम्हि
Abbocchinnaṃ	अब्बोच्छिन्नं
Abhidhammakathāmaggaṃ	अभिधम्मकथामग्गं
Abhidhammapiṭake	अभिधम्मपिटके
Abhidhammassa	अभिधम्मस्स
Abhidhammasuttaṃ	अभिधम्मसुत्तं
Abhidhammaṃ	अभिधम्मं
Abhidhamme	अभिधम्मे
Abhidhammo	अभिधम्मो
Abhikkantena	अभिक्कन्तेन
Abhiññābalamāhari	अभिञ्ञाबलमाहरि
Acetanaṃva	अचेतनंव
Acetanāyaṃ	अचेतनायं
Adaṃsu	अदंसु
Adhiṭṭhānapāramitaṃ	अधिट्ठानपारमितं
Advejjhavacanā	अद्वेज्झवचना
Ahampi	अहम्पि
Ahaṃ	अहं
Ahu	अहु
Ajapālarukkhamūle	अजपालरुक्खमूले
Ajaraṃ	अजरं
Ajjhāyako	अज्झायको
Akkamitvāna	अक्कमित्वान
Akāsabhūtā	अकासभूता
Alaṅkatasīsaṃ	अलङ्कतसीसं
Alīnavīriyo	अलीनवीरियो
Amaraṃ	अमरं
Amhākampi	अम्हाकम्पि
Ananto	अनन्तो
Anekaguṇasampannaṃ	अनेकगुणसम्पन्नं
Anekajātisaṃsāraṃ	अनेकजातिसंसारं
Anekakoṭisannicayo	अनेककोटिसन्निचयो
Anekāni	अनेकानि
Aniṭṭhagandho	अनिट्ठगन्धो
Aniṭṭhite	अनिट्ठिते
Anomadassissa	अनोमदस्सिस्स
Anotattadahe	अनोतत्तदहे
Anovaṭṭhena	अनोवट्ठेन
Antalikkhamhi	अन्तलिक्खम्हि
Antarantarā	अन्तरन्तरा
Antobhastagataṃ	अन्तोभस्तगतं
Anuṭṭhāpanīyabhāvo	अनुट्ठापनीयभावो
Anāgatamhi	अनागतम्हि
Anāsavā	अनासवा
Apanetvā	अपनेत्वा
Aparabhāgepi	अपरभागेपि
Aparampissa	अपरम्पिस्स
Aparepi	अपरेपि
Aparimeyye	अपरिमेय्ये
Aparo	अपरो
Apaṇṇakajātakādīni	अपण्णकजातकादीनि
Appattamānasā	अप्पत्तमानसा
Appaṭijagganatā	अप्पटिजग्गनता
Asamo	असमो
Assamo	अस्समो
Assattharukkhamūlamhi	अस्सत्थरुक्खमूलम्हि
Asītihatthamubbedho	असीतिहत्थमुब्बेधो
Atha	अथ
Athassa	अथस्स
Atheko	अथेको
Athāpare	अथापरे
Athāpi	अथापि
Atirekavisesatthadīpako	अतिरेकविसेसत्थदीपको
Atisambādhe	अतिसम्बाधे
Ativisāle	अतिविसाले
Atthato	अत्थतो
Atthaṃ	अत्थं
Attheva	अत्थेव
Atthi	अत्थि
Attho	अत्थो
Atthānaṃ	अत्थानं
Atīradassī	अतीरदस्सी
Avikkhittā	अविक्खित्ता
Avinayadhāritāya	अविनयधारिताय
Avīcimhi	अवीचिम्हि
Ayamettha	अयमेत्थ
Ayameva	अयमेव
Ayampi	अयम्पि
Ayañca	अयञ्च
Ayañhi	अयञ्हि
Ayaṃ	अयं
Aññepi	अञ्ञेपि
Aññesu	अञ्ञेसु
Aṭṭhadhammasamodhānā	अट्ठधम्मसमोधाना
Aṭṭhadosasamākiṇṇaṃ	अट्ठदोससमाकिण्णं
Aṭṭhaguṇasamupeta	अट्ठगुणसमुपेत
Aṭṭhaguṇasamupetaṃ	अट्ठगुणसमुपेतं
Aṭṭhasālinī	अट्ठसालिनी
Aṭṭhimāni	अट्ठिमानि
Aṭṭhīhi	अट्ठीहि
Bahū	बहू
Bandhumatī	बन्धुमती
Bhagavā	भगवा
Bhante	भन्ते
Bhayaṃ	भयं
Bhaṇḍacchedabhayaṃ	भण्डच्छेदभयं
Bhikkhunā	भिक्खुना
Bhikkhāya	भिक्खाय
Bhikkhū	भिक्खू
Bhikkhūnaṃ	भिक्खूनं
Bhojaputte	भोजपुत्ते
Bilāsayā	बिलासया
Bodhaneyyaṃ	बोधनेय्यं
Bodhi	बोधि
