1	១
1027	១០២៧
1061	១០៦១
11	១១
110	១១០
110102	១១០១០២
112	១១២
1124	១១២៤
1139	១១៣៩
1143	១១៤៣
1144	១១៤៤
1148	១១៤៨
1152	១១៥២
115385	១១៥៣៨៥
12	១២
1202	១២០២
1203	១២០៣
1205	១២០៥
1221	១២២១
1228	១២២៨
1234	១២៣៤
1236	១២៣៦
1238	១២៣៨
1239	១២៣៩
1274	១២៧៤
13	១៣
1343	១៣៤៣
149	១៤៩
1516	១៥១៦
153154	១៥៣១៥៤
163	១៦៣
16667	១៦៦៦៧
1avidūrenidānakathā	១អវិទូរេនិទានកថា
2133	២១៣៣
2209	២២០៩
2218	២២១៨
2399	២៣៩៩
259	២៥៩
27	២៧
291	២៩១
3	៣
303	៣០៣
3100	៣១០០
3113	៣១១៣
3200	៣២០០
3384	៣៣៨៤
366	៣៦៦
370	៣៧០
407	៤០៧
4129	៤១២៩
417	៤១៧
442	៤៤២
45	៤៥
477	៤៧៧
511	៥១១
5195	៥១៩៥
558	៥៥៨
720	៧២០
75	៧៥
751	៧៥១
8	៨
85	៨៥
99	៩៩
Abbhantaramhi	អព្ភន្តរម្ហិ
Abbocchinnaṃ	អព្ពោច្ឆិន្នំ
Abhidhammakathāmaggaṃ	អភិធម្មកថាមគ្គំ
Abhidhammapiṭake	អភិធម្មបិដកេ
Abhidhammassa	អភិធម្មស្ស
Abhidhammasuttaṃ	អភិធម្មសុត្តំ
Abhidhammaṃ	អភិធម្មំ
Abhidhamme	អភិធម្មេ
Abhidhammo	អភិធម្មោ
Abhikkantena	អភិក្កន្តេន
Abhiññābalamāhari	អភិញ្ញាពលមាហរិ
Acetanaṃva	អចេតនំវ
Acetanāyaṃ	អចេតនាយំ
Adaṃsu	អទំសុ
Adhiṭṭhānapāramitaṃ	អធិដ្ឋានបារមិតំ
Advejjhavacanā	អទ្វេជ្ឈវចនា
Ahampi	អហម្បិ
Ahaṃ	អហំ
Ahu	អហុ
Ajapālarukkhamūle	អជបាលរុក្ខមូលេ
Ajaraṃ	អជរំ
Ajjhāyako	អជ្ឈាយកោ
Akkamitvāna	អក្កមិត្វាន
Akāsabhūtā	អកាសភូតា
Alaṅkatasīsaṃ	អលង្កតសីសំ
Alīnavīriyo	អលីនវីរិយោ
Amaraṃ	អមរំ
Amhākampi	អម្ហាកម្បិ
Ananto	អនន្តោ
Anekaguṇasampannaṃ	អនេកគុណសម្បន្នំ
Anekajātisaṃsāraṃ	អនេកជាតិសំសារំ
Anekakoṭisannicayo	អនេកកោដិសន្និចយោ
Anekāni	អនេកានិ
Aniṭṭhagandho	អនិដ្ឋគន្ធោ
Aniṭṭhite	អនិដ្ឋិតេ
Anomadassissa	អនោមទស្សិស្ស
Anotattadahe	អនោតត្តទហេ
Anovaṭṭhena	អនោវដ្ឋេន
Antalikkhamhi	អន្តលិក្ខម្ហិ
Antarantarā	អន្តរន្តរា
Antobhastagataṃ	អន្តោភស្តគតំ
Anuṭṭhāpanīyabhāvo	អនុដ្ឋាបនីយភាវោ
Anāgatamhi	អនាគតម្ហិ
Anāsavā	អនាសវា
Apanetvā	អបនេត្វា
Aparabhāgepi	អបរភាគេបិ
Aparampissa	អបរម្បិស្ស
Aparepi	អបរេបិ
Aparimeyye	អបរិមេយ្យេ
Aparo	អបរោ
Apaṇṇakajātakādīni	អបណ្ណកជាតកាទីនិ
Appattamānasā	អប្បត្តមានសា
Appaṭijagganatā	អប្បដិជគ្គនតា
Asamo	អសមោ
Assamo	អស្សមោ
Assattharukkhamūlamhi	អស្សត្ថរុក្ខមូលម្ហិ
Asītihatthamubbedho	អសីតិហត្ថមុព្ពេធោ
Atha	អថ
Athassa	អថស្ស
Atheko	អថេកោ
Athāpare	អថាបរេ
Athāpi	អថាបិ
Atirekavisesatthadīpako	អតិរេកវិសេសត្ថទីបកោ
Atisambādhe	អតិសម្ពាធេ
Ativisāle	អតិវិសាលេ
Atthato	អត្ថតោ
Atthaṃ	អត្ថំ
Attheva	អត្ថេវ
Atthi	អត្ថិ
Attho	អត្ថោ
Atthānaṃ	អត្ថានំ
Atīradassī	អតីរទស្សី
Avikkhittā	អវិក្ខិត្តា
Avinayadhāritāya	អវិនយធារិតាយ
Avīcimhi	អវីចិម្ហិ
Ayamettha	អយមេត្ថ
Ayameva	អយមេវ
Ayampi	អយម្បិ
Ayañca	អយញ្ច
Ayañhi	អយញ្ហិ
Ayaṃ	អយំ
Aññepi	អញ្ញេបិ
Aññesu	អញ្ញេសុ
Aṭṭhadhammasamodhānā	អដ្ឋធម្មសមោធានា
Aṭṭhadosasamākiṇṇaṃ	អដ្ឋទោសសមាកិណ្ណំ
Aṭṭhaguṇasamupeta	អដ្ឋគុណសមុបេត
Aṭṭhaguṇasamupetaṃ	អដ្ឋគុណសមុបេតំ
Aṭṭhasālinī	អដ្ឋសាលិនី
Aṭṭhimāni	អដ្ឋិមានិ
Aṭṭhīhi	អដ្ឋីហិ
Bahū	ពហូ
Bandhumatī	ពន្ធុមតី
Bhagavā	ភគវា
Bhante	ភន្តេ
Bhayaṃ	ភយំ
Bhaṇḍacchedabhayaṃ	ភណ្ឌច្ឆេទភយំ
Bhikkhunā	ភិក្ខុនា
Bhikkhāya	ភិក្ខាយ
Bhikkhū	ភិក្ខូ
Bhikkhūnaṃ	ភិក្ខូនំ
Bhojaputte	ភោជបុត្តេ
Bilāsayā	ពិលាសយា
Bodhaneyyaṃ	ពោធនេយ្យំ
Bodhi	ពោធិ
Brahmadatto	ព្រហ្មទត្តោ
Brahmajālādicatuttiṃsasuttasaṅgaho	ព្រហ្មជាលាទិចតុត្តិំសសុត្តសង្គហោ
Brāhmaṇa	ព្រាហ្មណ
Brāhmaṇo	ព្រាហ្មណោ
Buddhassa	ពុទ្ធស្ស
Buddho	ពុទ្ធោ
Buddhoti	ពុទ្ធោតិ
Buddhānañhi	ពុទ្ធានញ្ហិ
Bāhirakadānañhi	ពាហិរកទានញ្ហិ
Bāvīsatindriyāni	ពាវីសតិន្ទ្រិយានិ
Bāḷhā	ពាឡ្ហា
Cajato	ចជតោ
Cakkavāḷasahassehi	ចក្កវាឡសហស្សេហិ
Calatā	ចលតា
Campakaṃ	ចម្បកំ
Candasūriyatārakarūpadevatuyyānavimānakapparukkhānaṃ	ចន្ទសូរិយតារករូបទេវតុយ្យានវិមានកប្បរុក្ខានំ
Caranti	ចរន្តិ
Cattāri	ចត្តារិ
Cattāro	ចត្តារោ
Cattārome	ចត្តារោមេ
Catunahutādhikadviyojanasatasahassabahalā	ចតុនហុតាធិកទ្វិយោជនសតសហស្សពហលា
Caturo	ចតុរោ
Caturāsīti	ចតុរាសីតិ
Catutthe	ចតុត្ថេ
Catuttiṃseva	ចតុត្តិំសេវ
Catūhi	ចតូហិ
Caṅkamanassa	ចង្កមនស្ស
Caṅkamaṃ	ចង្កមំ
Cha	ឆ
Chanahutādhikanavayojanasatasahassabahalo	ឆនហុតាធិកនវយោជនសតសហស្សពហលោ
Chavito	ឆវិតោ
Chaḍḍayitvāna	ឆឌ្ឌយិត្វាន
Cittapariyādānasuttādinavasuttasahassapañcasatasattapaññāsasuttasaṅgaho	ចិត្តបរិយាទានសុត្តាទិនវសុត្តសហស្សបញ្ចសតសត្តបញ្ញាសសុត្តសង្គហោ
Cittasamuṭṭhānā	ចិត្តសមុដ្ឋានា
Cittassa	ចិត្តស្ស
Cittavibhatti	ចិត្តវិភត្តិ
Citto	ចិត្តោ
Cittuppādakaṇḍa	ចិត្តុប្បាទកណ្ឌ
Cittuppādakaṇḍo	ចិត្តុប្បាទកណ្ឌោ
Cutī	ចុតី
